time,T1,T2,T3
87,23.8822857101127,22.2759636527312,21.7602712134912
87.5,23.8945890702005,22.2857466143169,21.7684065416896
88,23.9068281149089,22.2955171424032,21.7765572126038
88.5,23.9190030102505,22.3052748221264,21.784722687948
89,23.9311139258305,22.3150192452443,21.7929024327164
89.5,23.9431610347318,22.324750010085,21.8010959152379
90,23.9551445134033,22.334466721496,21.8093026072286
90.5,23.9670645415497,22.3441689907928,21.8175219838428
91,23.9789213020252,22.3538564357072,21.825753523721
91.5,23.990714980728,22.3635286803356,21.8339967090374
92,24.0024457664982,22.3731853550862,21.8422510255438
92.5,24.014113851018,22.3828260966267,21.8505159626136
93,24.0257194287135,22.3924505478317,21.8587910132823
93.5,24.0372626966594,22.4020583577297,21.867075674287
94,24.0487438544855,22.4116491814496,21.875369446104
94.5,24.0601631042852,22.4212226801681,21.8836718329851
95,24.0715206505268,22.4307785210554,21.891982342991
95.5,24.0828166999655,22.4403163772226,21.9003004880247
96,24.094051461559,22.4498359276672,21.9086257838617
96.5,24.1052251463839,22.4593368572197,21.9169577501799
97,24.1163379675541,22.4688188564902,21.9252959105867
97.5,24.1273901401419,22.4782816218136,21.9336397926459
98,24.1383818810999,22.4877248551969,21.9419889279017
98.5,24.1493134091855,22.4971482642642,21.9503428519025
99,24.1601849448864,22.5065515622036,21.9587011042224
99.5,24.1709967103486,22.5159344677131,21.9670632284813
100,24.1817489293057,22.5252967049466,21.9754287723645
100.5,24.1924418270094,22.5346380034602,21.9837972876395
101,24.2030756301628,22.5439580981587,21.9921683301729
101.5,24.2136505668539,22.5532567292416,22.000541459945
102,24.2241668664916,22.5625336421498,22.0089162410638
102.5,24.2346247597431,22.571788587512,22.017292241777
103,24.2450244784721,22.5810213210916,22.0256690344834
103.5,24.2553662556793,22.5902316037331,22.034046195743
104,24.265650325444,22.5994192013092,22.0424233062857
104.5,24.2758769228669,22.6085838846678,22.050799951019
105,24.2860462840143,22.6177254295795,22.0591757190348
105.5,24.2961586458642,22.6268436166846,22.0675502036145
106,24.3062142462529,22.6359382314408,22.0759230022335
106.5,24.3162133238231,22.6450090640709,22.0842937165648
107,24.326156117974,22.654055909511,22.0926619524812
107.5,24.3360428688112,22.6630785673581,22.1010273200566
108,24.3458738170993,22.672076841819,22.1093894335662
108.5,24.3556492042147,22.6810505416586,22.1177479114866
109,24.3653692720998,22.6899994801487,22.1261023764935
109.5,24.3750342632182,22.6989234750171,22.1344524554597
110,24.3846444205117,22.7078223483967,22.1427977794518
110.5,24.3941999873572,22.7166959267754,22.1511379837261
111,24.4037012075258,22.7255440409453,22.1594727077235
111.5,24.4131483251419,22.7343665259532,22.1678015950637
112,24.4225415846444,22.7431632210509,22.1761242935389
112.5,24.4318812307478,22.7519339696452,22.184440455106
113,24.4411675084052,22.7606786192495,22.1927497358788
113.5,24.4504006627714,22.7693970214344,22.2010517961192
114,24.4595809391679,22.7780890317792,22.2093463002275
114.5,24.4687085830476,22.7867545098239,22.2176329167321
115,24.4777838399617,22.7953933190208,22.2259113182788
115.5,24.4868069555264,22.804005326687,22.234181181619
116,24.495778175391,22.8125904039569,22.2424421875978
116.5,24.5046977452066,22.8211484257352,22.2506940211407
117,24.5135659105959,22.82967927065,22.2589363712407
117.5,24.5223829171235,22.8381828210067,22.267168930944
118,24.531149010267,22.8466589627411,22.2753913973353
118.5,24.5398644353892,22.8551075853744,22.2836034715231
119,24.5485294377105,22.863528581967,22.2918048586237
119.5,24.5571442622825,22.8719218490737,22.2999952677451
120,24.565709153962,22.8802872866989,22.3081744119706
120.5,24.5742243573862,22.8886247982518,22.3163420083411
121,24.5826901169477,22.8969342905021,22.3244977778383
121.5,24.591106676771,22.9052156735367,22.3326414453657
122,24.5994742806894,22.9134688607156,22.340772739731
122.5,24.6077931722224,22.921693768629,22.3488913936265
123,24.6160635945535,22.9298903170542,22.3569971436102
123.5,24.6242857905095,22.9380584289134,22.3650897300858
124,24.6324600025395,22.9461980302313,22.3731688972829
124.5,24.6405864726947,22.9543090500933,22.3812343932364
125,24.6486654426091,22.9623914206042,22.3892859697656
125.5,24.6566971534804,22.9704450768465,22.3973233824531
126,24.6646818460518,22.9784699568404,22.4053463906235
126.5,24.6726197605938,22.9864660015027,22.4133547573215
127,24.6805111368871,22.9944331546067,22.4213482492899
127.5,24.6883562142058,23.0023713627431,22.429326636947
128,24.6961552313007,23.0102805752796,22.4372896943641
128.5,24.7039084263839,23.0181607443226,22.445237199243
129,24.7116160371132,23.0260118246781,22.453168932892
129.5,24.7192783005774,23.0338337738134,22.4610846802034
130,24.7268954532814,23.041626551819,22.4689842296292
130.5,24.7344677311327,23.0493901213709,22.4768673731578
131,24.7419953694278,23.0571244476935,22.4847339062894
131.5,24.7494786028388,23.0648294985221,22.4925836280123
132,24.756917665401,23.0725052440666,22.5004163407782
132.5,24.7643127905002,23.0801516569753,22.5082318504774
133,24.7716642108613,23.0877687122983,22.5160299664146
133.5,24.7789721585367,23.0953563874527,22.5238105012835
134,24.7862368648948,23.1029146621864,22.5315732711417
134.5,24.7934585606096,23.1104435185441,22.5393180953858
135,24.8006374756503,23.1179429408318,22.547044796726
135.5,24.8077738392712,23.1254129155831,22.5547532011604
136,24.8148678800022,23.132853431525,22.5624431379496
136.5,24.8219198256391,23.1402644795443,22.570114439591
137,24.8289299032351,23.1476460526547,22.5777669417931
137.5,24.8358983390917,23.1549981459631,22.5854004834495
138,24.8428253587506,23.1623207566377,22.5930149066129
138.5,24.8497111869856,23.1696138838754,22.6006100564693
139,24.8565560477948,23.17687752887,22.6081857813121
139.5,24.8633601643935,23.1841116947803,22.6157419325151
140,24.8701237592064,23.1913163866993,22.6232783645075
140.5,24.8768470538614,23.1984916116227,22.6307949347468
141,24.8835302691827,23.2056373784186,22.6382915036927
141.5,24.8901736251846,23.2127536977972,22.6457679347812
142,24.8967773410653,23.2198405822803,22.6532240943979
142.5,24.9033416352012,23.2268980461726,22.6606598518517
143,24.9098667251414,23.2339261055311,22.6680750793486
