temps_s,T1_C,T2_C,T3_C
281.864,47.46,39.91,38.13
282.366,47.50,39.91,38.13
282.870,47.50,39.94,38.17
283.373,47.50,39.94,38.17
283.877,47.50,39.94,38.17
284.380,47.50,39.98,38.20
284.883,47.50,39.98,38.20
285.386,47.50,39.98,38.20
285.890,47.50,40.01,38.24
286.394,47.50,40.01,38.24
286.897,47.50,40.01,38.24
287.400,47.50,40.04,38.27
287.903,47.50,40.04,38.27
288.407,47.46,40.04,38.27
288.910,47.50,40.04,38.27
289.413,47.50,40.04,38.31
289.916,47.50,40.08,38.34
290.420,47.50,40.08,38.34
290.923,47.50,40.08,38.34
291.427,47.50,40.11,38.38
291.930,47.50,40.11,38.38
292.433,47.50,40.11,38.38
292.937,47.50,40.11,38.38
293.440,47.50,40.14,38.42
293.944,47.50,40.14,38.42
294.446,47.50,40.14,38.42
294.950,47.50,40.14,38.42
295.453,47.50,40.14,38.45
295.957,47.46,40.14,38.42
296.461,47.50,40.14,38.45
296.963,47.50,40.14,38.45
297.467,47.50,40.17,38.45
297.970,47.50,40.17,38.49
298.474,47.50,40.17,38.49
298.977,47.50,40.21,38.49
299.480,47.50,40.21,38.49
299.983,47.50,40.21,38.52
300.487,47.50,40.24,38.52
300.991,47.50,40.24,38.52
301.494,47.50,40.27,38.56
301.997,47.50,40.27,38.56
302.500,47.50,40.27,38.56
303.004,47.50,40.27,38.56
303.507,47.50,40.27,38.56
304.011,47.50,40.31,38.56
304.513,47.50,40.31,38.59
305.017,47.50,40.31,38.59
305.521,47.50,40.31,38.59
306.024,47.50,40.31,38.63
306.528,47.50,40.31,38.63
307.030,47.50,40.31,38.63
307.534,47.50,40.34,38.63
308.037,47.50,40.31,38.63
308.541,47.50,40.34,38.63
309.044,47.50,40.34,38.66
309.547,47.50,40.34,38.66
310.051,47.46,40.37,38.66
310.554,47.50,40.37,38.66
311.058,47.46,40.37,38.66
311.561,47.50,40.37,38.66
312.064,47.50,40.37,38.70
312.567,47.50,40.37,38.70
313.071,47.50,40.37,38.70
313.574,47.50,40.41,38.73
314.078,47.50,40.41,38.73
314.581,47.50,40.41,38.73
315.084,47.50,40.44,38.73
315.588,47.46,40.44,38.73
316.091,47.50,40.44,38.77
316.595,47.50,40.44,38.77
317.097,47.50,40.44,38.77
317.601,47.50,40.47,38.77
318.104,47.50,40.47,38.77
318.608,47.50,40.47,38.77
319.112,47.50,40.47,38.80
319.614,47.50,40.47,38.80
320.118,47.50,40.47,38.80
320.621,47.50,40.47,38.84
321.125,47.50,40.47,38.84
321.628,47.50,40.51,38.84
322.131,47.50,40.51,38.84
322.634,47.50,40.54,38.84
323.138,47.50,40.54,38.87
323.642,47.50,40.54,38.91
324.145,47.50,40.54,38.91
324.648,47.50,40.54,38.91
325.151,47.50,40.54,38.91
325.655,47.50,40.54,38.95
326.158,47.50,40.54,38.95
326.661,47.50,40.54,38.98
327.164,47.50,40.57,38.98
327.668,47.50,40.57,38.98
328.172,47.50,40.57,38.98
328.675,47.50,40.57,38.98
329.178,47.50,40.57,38.98
329.681,47.50,40.57,39.02
330.185,47.46,40.57,39.02
330.688,47.50,40.57,39.02
331.192,47.50,40.57,39.02
331.694,47.50,40.54,39.02
332.198,47.50,40.51,39.02
332.702,47.50,40.47,39.02
333.205,47.50,40.44,38.98
333.709,47.50,40.44,38.98
334.211,47.46,40.44,38.98
334.715,47.50,40.44,38.98
335.218,47.50,40.44,38.98
335.722,47.50,40.44,38.98
336.225,47.50,40.47,38.98
336.728,47.50,40.51,38.98
337.232,47.50,40.51,39.02
337.735,47.50,40.51,39.02
338.239,47.50,40.54,39.02
338.742,47.50,40.57,39.02
339.245,47.50,40.57,39.05
339.748,47.50,40.57,39.05
340.252,47.50,40.61,39.05
340.755,47.50,40.61,39.05
341.259,47.50,40.64,39.09
341.761,47.50,40.64,39.09
342.265,47.50,40.67,39.09
342.769,47.50,40.67,39.09
343.272,47.50,40.71,39.09
343.776,47.50,40.71,39.12
344.278,47.50,40.71,39.12
344.782,47.50,40.71,39.12
345.285,47.50,40.74,39.12
345.789,47.50,40.74,39.12
346.292,47.46,40.74,39.16
346.795,47.50,40.74,39.16
347.299,47.50,40.74,39.16
347.802,47.50,40.77,39.16
348.306,47.50,40.77,39.16
348.809,47.50,40.77,39.16
349.312,47.50,40.77,39.19
349.815,47.50,40.77,39.19
350.319,47.50,40.81,39.19
350.823,47.50,40.81,39.19
351.326,47.50,40.81,39.19
351.829,47.50,40.81,39.23
352.332,47.50,40.81,39.23
352.836,47.46,40.84,39.23
353.339,47.50,40.84,39.23
353.843,47.50,40.84,39.26
354.346,47.50,40.84,39.26
354.849,47.50,40.84,39.26
355.353,47.50,40.84,39.26
355.856,47.50,40.84,39.26
356.360,47.46,40.84,39.30
356.862,47.50,40.84,39.30
357.366,47.50,40.81,39.30
357.869,47.50,40.81,39.30
358.373,47.50,40.81,39.30
358.877,47.50,40.81,39.34
359.379,47.50,40.81,39.34
359.883,47.50,40.81,39.34
360.386,47.50,40.81,39.34
360.890,47.50,40.84,39.34
361.393,47.50,40.84,39.34
361.896,47.50,40.84,39.34
362.400,47.50,40.84,39.34
362.903,47.46,40.87,39.34
363.407,47.50,40.87,39.37
363.909,47.50,40.91,39.37
364.413,47.50,40.91,39.37
364.916,47.50,40.87,39.37
365.420,47.50,40.91,39.41
365.923,47.50,40.91,39.41
366.426,47.50,40.91,39.41
366.930,47.50,40.91,39.41
367.433,47.50,40.94,39.41
367.937,47.50,40.91,39.41
368.440,47.50,40.94,39.41
368.943,47.50,40.94,39.41
369.446,47.50,40.94,39.41
369.950,47.50,40.94,39.44
370.454,47.50,40.94,39.41
370.957,47.50,40.94,39.44
371.460,47.50,40.94,39.44
371.963,47.50,40.94,39.44
372.467,47.50,40.94,39.44
372.970,47.50,40.94,39.44
373.474,47.50,40.97,39.44
373.976,47.50,40.97,39.44
374.480,47.50,40.97,39.44
374.984,47.50,41.01,39.44
375.487,47.50,41.01,39.44
375.991,47.50,40.97,39.48
376.493,47.50,40.97,39.48
376.997,47.50,40.97,39.48
377.500,47.46,40.97,39.48
378.004,47.50,40.97,39.48
378.507,47.50,41.01,39.48
379.010,47.50,41.01,39.48
379.514,47.50,41.01,39.51
380.017,47.50,41.01,39.48
380.521,47.50,41.01,39.48
381.024,47.50,41.01,39.51
381.527,47.50,41.01,39.51
382.030,47.46,41.01,39.51
382.534,47.50,41.01,39.48
383.037,47.50,41.04,39.48
383.541,47.50,41.04,39.48
384.043,47.50,41.04,39.48
384.547,47.50,41.04,39.48
385.051,47.50,41.04,39.48
385.554,47.50,41.04,39.48
386.058,47.50,41.04,39.48
386.560,47.50,41.04,39.48
387.064,47.50,41.04,39.51
387.567,47.50,41.04,39.51
388.071,47.50,41.04,39.51
388.574,47.50,41.07,39.55
389.077,47.50,41.07,39.55
389.581,47.50,41.07,39.55
390.084,47.50,41.07,39.55
390.588,47.50,41.07,39.55
391.091,47.50,41.07,39.55
391.594,47.50,41.11,39.55
392.097,47.50,41.11,39.55
392.601,47.50,41.11,39.58
393.104,47.50,41.11,39.58
393.608,47.50,41.11,39.58
394.111,47.50,41.11,39.58
394.614,47.50,41.11,39.58
395.118,47.50,41.11,39.58
395.621,47.50,41.11,39.58
396.125,47.50,41.11,39.58
396.627,47.50,41.11,39.62
397.131,47.50,41.14,39.62
397.634,47.50,41.14,39.62
398.138,47.50,41.14,39.62
398.642,47.50,41.14,39.62
399.144,47.50,41.17,39.62
399.648,47.50,41.17,39.62
400.151,47.50,41.17,39.65
400.655,47.50,41.21,39.65
401.157,47.50,41.17,39.65
401.661,47.50,41.21,39.65
