temps_s,T1_C,T2_C,T3_C
259.709,11.34,16.40,17.95
260.213,11.34,16.40,17.91
260.716,11.30,16.36,17.87
261.220,11.30,16.36,17.87
261.722,11.30,16.36,17.87
262.226,11.30,16.33,17.83
262.729,11.26,16.33,17.83
263.233,11.26,16.33,17.80
263.736,11.26,16.29,17.80
264.239,11.22,16.26,17.76
264.742,11.22,16.26,17.76
265.246,11.22,16.26,17.76
265.750,11.18,16.22,17.72
266.253,11.18,16.22,17.69
266.756,11.18,16.19,17.69
267.259,11.14,16.19,17.69
267.763,11.14,16.19,17.65
268.266,11.14,16.15,17.61
268.770,11.10,16.15,17.61
269.272,11.10,16.15,17.61
269.776,11.10,16.11,17.57
270.279,11.06,16.11,17.57
270.783,11.06,16.08,17.54
271.287,11.06,16.08,17.54
271.789,11.02,16.04,17.50
272.293,11.02,16.04,17.50
272.796,11.02,16.01,17.46
273.300,11.02,16.01,17.46
273.803,11.02,16.01,17.46
274.306,11.02,15.97,17.42
274.809,11.02,15.97,17.42
275.313,11.02,15.94,17.39
275.816,11.02,15.94,17.39
276.320,11.02,15.94,17.35
276.822,11.02,15.90,17.35
277.326,11.02,15.90,17.35
277.829,11.02,15.90,17.31
278.333,11.02,15.86,17.31
278.836,11.02,15.86,17.28
279.339,11.02,15.86,17.28
279.843,11.02,15.83,17.24
280.346,11.02,15.83,17.24
280.850,11.02,15.79,17.24
281.353,11.02,15.79,17.20
281.856,11.02,15.79,17.20
282.359,11.02,15.76,17.16
282.863,11.02,15.72,17.16
283.366,11.02,15.72,17.16
283.870,11.02,15.72,17.13
284.372,11.02,15.68,17.13
284.876,11.02,15.68,17.09
285.379,11.02,15.68,17.09
285.883,11.02,15.65,17.09
286.387,11.02,15.65,17.05
286.889,11.02,15.65,17.05
287.393,11.02,15.61,17.01
287.896,11.02,15.61,17.01
288.400,11.02,15.61,17.01
288.903,11.02,15.58,16.98
289.406,11.02,15.58,16.98
289.909,11.02,15.58,16.98
290.413,11.02,15.54,16.94
290.916,11.02,15.54,16.94
291.420,11.02,15.50,16.90
291.922,11.02,15.50,16.90
292.426,11.02,15.50,16.86
292.929,11.02,15.50,16.90
293.433,11.02,15.50,16.86
293.935,11.02,15.47,16.86
294.439,11.02,15.47,16.86
294.942,11.02,15.43,16.82
295.446,11.02,15.43,16.82
295.950,11.02,15.43,16.79
296.452,11.02,15.40,16.79
296.956,10.98,15.40,16.79
297.459,11.02,15.36,16.75
297.963,11.02,15.36,16.75
298.466,11.02,15.36,16.75
298.969,11.02,15.36,16.71
299.472,11.02,15.32,16.71
299.976,11.02,15.32,16.71
300.479,10.98,15.29,16.67
300.983,11.02,15.29,16.67
301.485,11.02,15.29,16.67
301.989,11.02,15.25,16.64
302.492,11.02,15.25,16.64
302.996,11.02,15.25,16.64
303.500,11.02,15.22,16.60
304.002,11.02,15.22,16.60
304.506,11.02,15.22,16.60
305.009,11.02,15.18,16.56
305.513,11.02,15.18,16.56
306.016,11.02,15.18,16.56
306.519,10.98,15.14,16.52
307.022,10.98,15.14,16.52
307.526,11.02,15.14,16.49
308.029,11.02,15.11,16.49
308.533,10.98,15.11,16.49
309.035,10.98,15.11,16.45
309.539,11.02,15.07,16.45
310.043,11.02,15.07,16.45
310.546,10.98,15.07,16.41
311.050,10.98,15.03,16.41
311.552,11.02,15.07,16.41
312.056,10.98,15.03,16.37
312.559,11.02,15.03,16.37
313.063,11.02,15.03,16.37
313.566,11.02,15.00,16.33
314.069,11.02,15.00,16.33
314.572,10.98,15.00,16.33
315.076,11.02,14.96,16.30
315.579,10.98,14.96,16.30
316.083,11.02,14.92,16.30
316.585,11.02,14.92,16.26
317.089,10.98,14.92,16.26
317.592,11.02,14.92,16.26
318.096,11.02,14.89,16.26
318.599,11.02,14.89,16.22
319.102,11.02,14.89,16.22
319.606,10.98,14.89,16.18
320.109,10.98,14.85,16.18
320.613,11.02,14.85,16.18
321.116,10.98,14.82,16.14
321.619,10.98,14.82,16.14
322.122,11.02,14.82,16.14
322.626,11.02,14.82,16.14
323.129,10.98,14.78,16.11
323.633,10.98,14.78,16.11
324.135,11.02,14.78,16.07
324.639,10.98,14.74,16.07
325.142,10.98,14.78,16.07
325.646,10.98,14.74,16.07
326.148,11.02,14.74,16.07
326.652,10.98,14.74,16.03
327.156,10.98,14.71,16.03
327.659,11.02,14.71,16.03
328.163,11.02,14.71,15.99
328.665,11.02,14.71,15.99
329.169,10.98,14.71,15.99
329.672,11.02,14.67,15.99
330.176,11.02,14.67,15.95
330.679,10.98,14.63,15.95
331.182,10.98,14.63,15.95
331.685,10.98,14.63,15.92
332.189,11.02,14.60,15.92
332.692,11.02,14.63,15.92
333.196,11.02,14.63,15.92
333.698,11.02,14.60,15.92
334.202,10.98,14.60,15.88
334.705,11.02,14.60,15.88
335.209,10.98,14.56,15.88
335.713,11.02,14.56,15.84
336.215,10.98,14.56,15.84
336.719,11.02,14.56,15.84
337.222,10.98,14.56,15.80
337.726,11.02,14.52,15.80
338.229,11.02,14.52,15.80
338.732,11.02,14.52,15.80
339.235,11.02,14.49,15.80
339.739,10.98,14.49,15.76
340.242,11.02,14.49,15.76
340.746,11.02,14.45,15.76
341.248,11.02,14.45,15.76
341.752,10.98,14.45,15.73
342.255,11.02,14.45,15.73
342.759,11.02,14.45,15.73
343.263,11.02,14.45,15.69
343.765,10.98,14.41,15.69
344.269,11.02,14.41,15.69
344.772,11.02,14.41,15.69
345.276,10.98,14.38,15.65
345.779,11.02,14.38,15.65
346.282,10.98,14.38,15.65
346.785,10.98,14.38,15.65
347.289,10.98,14.34,15.61
347.792,10.98,14.34,15.61
348.296,10.98,14.34,15.61
348.798,10.98,14.34,15.57
349.302,10.98,14.34,15.57
349.805,10.98,14.30,15.57
350.309,11.02,14.34,15.53
350.813,10.98,14.30,15.53
351.315,11.02,14.30,15.53
351.819,11.02,14.30,15.53
352.322,10.98,14.27,15.53
352.826,10.98,14.27,15.50
353.329,10.98,14.27,15.50
353.832,10.98,14.27,15.50
354.335,10.98,14.27,15.50
354.839,11.02,14.23,15.46
355.342,10.98,14.23,15.46
355.845,11.02,14.23,15.46
356.348,11.02,14.23,15.46
356.852,11.02,14.19,15.42
357.355,11.02,14.19,15.42
357.859,11.02,14.19,15.42
358.362,11.02,14.19,15.42
358.865,11.02,14.16,15.38
359.369,10.98,14.19,15.38
359.872,11.02,14.16,15.38
360.376,10.98,14.16,15.34
360.878,11.02,14.16,15.34
361.382,11.02,14.12,15.34
361.885,10.98,14.12,15.34
362.389,10.98,14.12,15.34
362.892,11.02,14.12,15.34
363.395,11.02,14.08,15.34
363.898,10.98,14.08,15.30
364.402,10.98,14.08,15.30
364.905,11.02,14.08,15.30
365.409,10.98,14.04,15.30
365.911,10.98,14.04,15.30
366.415,10.98,14.04,15.27
