Temps (s),Consigne (°C),Erreur (°C),Thermistance 1 - T1 (°C),Thermistance 2 - T2 (°C),Thermistance 3 - T3 (°C),T4',Thermistance 3 estimée - T3_moy (°C),Commande (PWM)
126.9958894,30,0,14.29,19.26,21.13,,21.13,-40
127.5071359,30,0,14.24,19.23,21.09,,21.09,-40
128.0118732,30,0,14.2,19.19,21.05,,21.05,-40
128.5187531,30,0,14.2,19.16,20.98,,20.98,-40
128.9954214,30,0,14.15,19.16,20.98,,20.98,-40
129.5179586,30,0,14.15,19.12,20.98,,20.98,-40
130.0181651,30,0,14.11,19.09,20.91,,20.91,-40
130.5167863,30,0,14.11,19.06,20.87,,20.87,-40
131.0224566,30,0,14.11,19.02,20.84,,20.84,-40
131.5327852,30,0,14.06,18.99,20.8,,20.8,-40
132.0235174,30,0,14.02,18.99,20.8,,20.8,-40
132.528955,30,0,14.02,18.95,20.76,,20.76,-40
133.0251114,30,0,14.02,18.92,20.73,,20.73,-40
133.530966,30,0,13.98,18.88,20.69,,20.69,-40
134.0202365,30,0,13.98,18.88,20.69,,20.69,-40
134.5310013,30,0,13.93,18.85,20.66,,20.66,-40
135.0165875,30,0,13.93,18.81,20.58,,20.58,-40
135.5304549,30,0,13.89,18.78,20.58,,20.58,-40
136.0354328,30,0,13.89,18.78,20.55,,20.55,-40
136.5273144,30,0,13.84,18.71,20.51,,20.51,-40
137.0342236,30,0,13.84,18.75,20.51,,20.51,-40
137.5331104,30,0,13.84,18.71,20.44,,20.44,-40
138.0313144,30,0,13.8,18.68,20.44,,20.44,-40
138.5349801,30,0,13.8,18.61,20.4,,20.4,-40
139.0430462,30,0,13.75,18.61,20.37,,20.37,-40
139.5495896,30,0,13.71,18.61,20.33,,20.33,-40
140.0336225,30,0,13.75,18.57,20.29,,20.29,-40
140.5453675,30,0,13.71,18.54,20.29,,20.29,-40
141.0424867,30,0,13.71,18.5,20.26,,20.26,-40
141.54478,30,0,13.66,18.5,20.22,,20.22,-40
142.0500023,30,0,13.66,18.47,20.19,,20.19,-40
142.5435517,30,0,13.66,18.47,20.19,,20.19,-40
143.0329878,30,0,13.62,18.43,20.11,,20.11,-40
143.5510578,30,0,13.57,18.4,20.11,,20.11,-40
144.0586092,30,0,13.62,18.37,20.08,,20.08,-40
144.5459471,30,0,13.57,18.37,20.08,,20.08,-40
145.0581856,30,0,13.57,18.33,20,,20,-40
145.5639639,30,0,13.53,18.33,20,,20,-40
146.0512252,30,0,13.53,18.3,19.97,,19.97,-40
146.5582762,30,0,13.53,18.26,19.93,,19.93,-40
147.0685601,30,0,13.48,18.26,19.93,,19.93,-40
147.5601847,30,0,13.48,18.23,19.89,,19.89,-40
148.0576241,30,0,13.44,18.19,19.86,,19.86,-40
148.5523155,30,0,13.44,18.16,19.82,,19.82,-40
149.0604758,30,0,13.39,18.12,19.79,,19.79,-40
149.5524719,30,0,13.39,18.12,19.79,,19.79,-40
150.0773885,30,0,13.39,18.09,19.75,,19.75,-40
150.5696688,30,0,13.39,18.05,19.71,,19.71,-40
151.0671339,30,0,13.35,18.05,19.71,,19.71,-40
151.5720742,30,0,13.35,18.02,19.68,,19.68,-40
152.0856295,30,0,13.3,17.98,19.64,,19.64,-40
152.5766785,30,0,13.3,17.95,19.64,,19.64,-40
153.0833924,30,0,13.26,17.95,19.57,,19.57,-40
153.575887,30,0,13.26,17.91,19.57,,19.57,-40
154.0781698,30,0,13.26,17.91,19.53,,19.53,-40
154.5685577,30,0,13.21,17.88,19.53,,19.53,-40
155.0764008,30,0,13.21,17.84,19.49,,19.49,-40
155.5814404,30,0,13.21,17.81,19.46,,19.46,-40
156.08302,30,0,13.17,17.77,19.42,,19.42,-40
156.5811059,30,0,13.17,17.77,19.42,,19.42,-40
157.0845399,30,0,13.12,17.77,19.38,,19.38,-40
157.5976481,30,0,13.12,17.74,19.35,,19.35,-40
158.0894227,30,0,13.12,17.7,19.35,,19.35,-40
158.5903654,30,0,13.08,17.7,19.31,,19.31,-40
159.0766125,30,0,13.08,17.67,19.27,,19.27,-40
159.5948887,30,0,13.04,17.63,19.27,,19.27,-40
160.0841925,30,0,13.04,17.63,19.24,,19.24,-40
160.6061158,30,0,12.99,17.6,19.2,,19.2,-40
161.0891466,30,0,12.99,17.6,19.16,,19.16,-40
161.5946491,30,0,12.95,17.56,19.13,,19.13,-40
162.1074765,30,0,12.95,17.56,19.13,,19.13,-40
162.5954955,30,0,12.95,17.53,19.09,,19.09,-40
163.0953484,30,0,12.95,17.53,19.09,,19.09,-40
163.6051018,30,0,12.9,17.49,19.05,,19.05,-40
164.110502,30,0,12.9,17.49,19.02,,19.02,-40
164.6054106,30,0,12.9,17.46,18.98,,18.98,-40
165.1058121,30,0,12.9,17.42,18.98,,18.98,-40
165.613282,30,0,12.86,17.39,18.94,,18.94,-40
166.1068799,30,0,12.86,17.35,18.91,,18.91,-40
166.6141281,30,0,12.81,17.35,18.91,,18.91,-40
167.1013625,30,0,12.86,17.35,18.91,,18.91,-40
167.6112783,30,0,12.77,17.32,18.83,,18.83,-40
168.1004443,30,0,12.77,17.28,18.83,,18.83,-40
168.6247301,30,0,12.81,17.25,18.8,,18.8,-40
169.1137347,30,0,12.77,17.25,18.8,,18.8,-40
169.6112635,30,0,12.72,17.21,18.76,,18.76,-40
170.1274343,30,0,12.72,17.21,18.76,,18.76,-40
170.6092978,30,0,12.77,17.21,18.72,,18.72,-40
171.1214118,30,0,12.68,17.18,18.72,,18.72,-40
171.6179926,30,0,12.68,17.14,18.69,,18.69,-40
172.1263878,30,0,12.68,17.11,18.65,,18.65,-40
172.6309648,30,0,12.68,17.11,18.65,,18.65,-40
173.1220047,30,0,12.63,17.07,18.61,,18.61,-40
173.6251237,30,0,12.63,17.04,18.61,,18.61,-40
174.125452,30,0,12.59,17.04,18.54,,18.54,-40
174.6381693,30,0,12.59,17.04,18.54,,18.54,-40
175.1413951,30,0,12.59,17,18.5,,18.5,-40
175.6293311,30,0,12.54,17,18.5,,18.5,-40
176.1353207,30,0,12.54,16.97,18.5,,18.5,-40
176.6421733,30,0,12.54,16.93,18.46,,18.46,-40
177.1252942,30,0,12.5,16.9,18.46,,18.46,-40
177.6420255,30,0,12.5,16.9,18.43,,18.43,-40
178.1421852,30,0,12.5,16.9,18.39,,18.39,-40
178.6433816,30,0,12.45,16.86,18.39,,18.39,-40
179.1298215,30,0,12.45,16.86,18.35,,18.35,-40
179.6419091,30,0,12.45,16.83,18.32,,18.32,-40
180.155442,30,0,12.45,16.83,18.28,,18.28,-40
180.6517761,30,0,12.45,16.83,18.32,,18.32,-40
181.1546597,30,0,12.36,16.79,18.24,,18.24,-40
181.6424818,30,0,12.36,16.76,18.24,,18.24,-40
182.1522028,30,0,12.41,16.76,18.24,,18.24,-40
182.6534231,30,0,12.36,16.72,18.21,,18.21,-40
183.1396236,30,0,12.32,16.72,18.17,,18.17,-40
183.6535687,30,0,12.32,16.68,18.17,,18.17,-40
184.1534448,30,0,12.32,16.68,18.13,,18.13,-40
184.6514661,30,0,12.27,16.65,18.13,,18.13,-40
185.1681247,30,0,12.32,16.61,18.09,,18.09,-40
185.6561844,30,0,12.27,16.61,18.06,,18.06,-40
186.1580851,30,0,12.27,16.61,18.06,,18.06,-40
186.6508398,30,0,12.23,16.58,18.06,,18.06,-40
187.1753151,30,0,12.23,16.58,18.02,,18.02,-40
187.6629233,30,0,12.23,16.54,17.98,,17.98,-40
188.1684287,30,0,12.23,16.54,17.98,,17.98,-40
188.6751146,30,0,12.19,16.51,17.98,,17.98,-40
189.1589043,30,0,12.19,16.47,17.91,,17.91,-40
189.6683373,30,0,12.19,16.47,17.95,,17.95,-40
190.1752748,30,0,12.19,16.47,17.91,,17.91,-40
190.6680424,30,0,12.14,16.44,17.87,,17.87,-40
191.1703851,30,0,12.1,16.4,17.87,,17.87,-40
191.6794245,30,0,12.1,16.44,17.83,,17.83,-40
192.1857605,30,0,12.1,16.36,17.83,,17.83,-40
192.6757987,30,0,12.1,16.36,17.8,,17.8,-40
193.1704807,30,0,12.05,16.33,17.8,,17.8,-40
193.6892328,30,0,12.05,16.33,17.8,,17.8,-40
194.1812689,30,0,12.05,16.29,17.76,,17.76,-40
194.6873643,30,0,12.1,16.33,17.72,,17.72,-40
195.194427,30,0,12.05,16.29,17.72,,17.72,-40
195.6856704,30,0,12.05,16.26,17.69,,17.69,-40
196.195951,30,0,12.01,16.26,17.69,,17.69,-40
196.6825514,30,0,12.01,16.26,17.65,,17.65,-40
197.1913254,30,0,12.01,16.22,17.65,,17.65,-40
197.6997702,30,0,11.96,16.19,17.61,,17.61,-40
198.1852326,30,0,12.01,16.19,17.61,,17.61,-40
198.6928854,30,0,11.96,16.19,17.61,,17.61,-40
199.1980124,30,0,11.92,16.15,17.54,,17.54,-40
199.6912346,30,0,11.92,16.11,17.57,,17.57,-40
200.1969755,30,0,11.92,16.11,17.54,,17.54,-40
200.6984417,30,0,11.87,16.08,17.5,,17.5,-40
201.1999938,30,0,11.87,16.04,17.5,,17.5,-40
201.6950996,30,0,11.87,16.04,17.46,,17.46,-40
202.201818,30,0,11.87,16.04,17.46,,17.46,-40
202.7032185,30,0,11.87,16.04,17.46,,17.46,-40
203.2157996,30,0,11.83,16.01,17.42,,17.42,-40
203.6989217,30,0,11.83,16.01,17.39,,17.39,-40
204.2065601,30,0,11.78,16.01,17.39,,17.39,-40
204.6989491,30,0,11.78,15.97,17.35,,17.35,-40
205.19715,30,0,11.78,15.97,17.39,,17.39,-40
205.7165544,30,0,11.78,15.94,17.35,,17.35,-40
206.2071588,30,0,11.74,15.94,17.31,,17.31,-40
206.700417,30,0,11.74,15.9,17.28,,17.28,-40
207.2210751,30,0,11.74,15.86,17.31,,17.31,-40
207.710125,30,0,11.69,15.86,17.28,,17.28,-40
208.2155044,30,0,11.69,15.9,17.28,,17.28,-40
208.7153544,30,0,11.69,15.86,17.28,,17.28,-40
209.2081764,30,0,11.69,15.83,17.2,,17.2,-40
209.7316933,30,0,11.65,15.83,17.2,,17.2,-40
210.2223132,30,0,11.65,15.83,17.2,,17.2,-40
210.7308838,30,0,11.6,15.79,17.2,,17.2,-40
211.2355402,30,0,11.65,15.79,17.16,,17.16,-40
211.7254062,30,0,11.6,15.76,17.16,,17.16,-40
212.2400923,30,0,11.6,15.76,17.13,,17.13,-40
212.7328033,30,0,11.6,15.72,17.13,,17.13,-40
213.2263281,30,0,11.56,15.72,17.09,,17.09,-40
213.7335768,30,0,11.56,15.72,17.09,,17.09,-40
214.2375469,30,0,11.56,15.65,17.05,,17.05,-40
214.7294769,30,0,11.56,15.65,17.05,,17.05,-40
215.2353489,30,0,11.51,15.65,17.01,,17.01,-40
215.7275734,30,0,11.51,15.65,17.05,,17.05,-40
216.2497256,30,0,11.51,15.65,17.01,,17.01,-40
216.7451236,30,0,11.47,15.61,16.98,,16.98,-40
217.2360575,30,0,11.51,15.61,16.98,,16.98,-40
217.7379198,30,0,11.51,15.58,16.94,,16.94,-40
218.2493327,30,0,11.47,15.58,16.94,,16.94,-40
218.7424183,30,0,11.42,15.58,16.9,,16.9,-40
219.2493155,30,0,11.47,15.54,16.9,,16.9,-40
219.7561023,30,0,11.47,15.54,16.86,,16.86,-40
220.2776735,30,0,11.42,15.54,16.86,,16.86,-40
220.7554793,30,0,11.47,15.5,16.86,,16.86,-40
221.244997,30,0,11.47,15.5,16.86,,16.86,-40
221.7465446,30,0,11.42,15.47,16.82,,16.82,-40
222.2625949,30,0,11.42,15.47,16.82,,16.82,-40
222.7551482,30,0,11.42,15.43,16.79,,16.79,-40
223.2651949,30,0,11.38,15.47,16.79,,16.79,-40
223.7586567,30,0,11.38,15.43,16.75,,16.75,-40
224.2642341,30,0,11.38,15.4,16.75,,16.75,-40
224.7710903,30,0,11.38,15.4,16.75,,16.75,-40
225.2611983,30,0,11.33,15.4,16.75,,16.75,-40
