time,sortie
330,30.0192880764682
330.5,30.019289838553
331,30.0192909867616
331.5,30.0192915302215
332,30.0192914779435
332.5,30.0192908388228
333,30.0192896216407
333.5,30.0192878350659
334,30.0192854876558
334.5,30.019282587858
335,30.0192791440117
335.5,30.0192751643487
336,30.0192706569953
336.5,30.0192656299731
337,30.0192600912004
337.5,30.0192540484937
338,30.0192475095687
338.5,30.0192404820418
339,30.0192329734309
339.5,30.0192249911573
340,30.0192165425461
340.5,30.019207634828
341,30.0191982751403
341.5,30.0191884705278
342,30.0191782279443
342.5,30.0191675542537
343,30.0191564562307
343.5,30.0191449405625
344,30.0191330138494
344.5,30.0191206826062
345,30.019107953263
345.5,30.0190948321665
346,30.0190813255809
346.5,30.019067439689
347,30.0190531805929
347.5,30.0190385543156
348,30.0190235668014
348.5,30.0190082239173
349,30.0189925314537
349.5,30.0189764951254
350,30.0189601205727
350.5,30.018943413362
351,30.0189263789872
351.5,30.0189090228701
352,30.0188913503618
352.5,30.0188733667429
353,30.0188550772253
353.5,30.0188364869522
354,30.0188176009993
354.5,30.0187984243759
355,30.0187789620254
355.5,30.0187592188259
356,30.0187391995918
356.5,30.0187189090738
357,30.0186983519602
357.5,30.0186775328772
358,30.0186564563904
358.5,30.0186351270048
359,30.0186135491659
359.5,30.0185917272607
360,30.0185696656179
360.5,30.018547368509
361,30.0185248401489
361.5,30.0185020846967
362,30.0184791062562
362.5,30.0184559088769
363,30.0184324965542
363.5,30.0184088732307
364,30.0183850427964
364.5,30.0183610090895
365,30.0183367758971
365.5,30.0183123469556
366,30.0182877259519
366.5,30.0182629165234
367,30.0182379222589
367.5,30.0182127466993
368,30.0181873933379
368.5,30.0181618656215
369,30.0181361669503
369.5,30.0181103006793
370,30.0180842701181
370.5,30.0180580785318
371,30.0180317291419
371.5,30.0180052251262
372,30.0179785696197
372.5,30.0179517657154
373,30.0179248164642
373.5,30.017897724876
374,30.0178704939198
374.5,30.0178431265246
375,30.0178156255796
375.5,30.0177879939349
376,30.0177602344018
376.5,30.0177323497535
377,30.0177043427255
377.5,30.017676216016
378,30.0176479722865
378.5,30.0176196141621
379,30.0175911442322
379.5,30.0175625650507
380,30.0175338791366
380.5,30.0175050889744
381,30.0174761970146
381.5,30.0174472056741
382,30.0174181173365
382.5,30.0173889343527
383,30.0173596590412
383.5,30.0173302936887
384,30.01730084055
384.5,30.0172713018492
385,30.0172416797794
385.5,30.0172119765034
386,30.0171821941541
386.5,30.0171523348348
387,30.0171224006195
387.5,30.0170923935534
388,30.0170623156533
388.5,30.0170321689079
389,30.0170019552781
389.5,30.0169716766974
390,30.0169413350723
390.5,30.0169109322826
391,30.0168804701818
391.5,30.0168499505973
392,30.0168193753308
392.5,30.0167887461587
393,30.0167580648323
393.5,30.0167273330784
394,30.0166965525991
394.5,30.0166657250726
395,30.0166348521534
395.5,30.0166039354722
396,30.0165729766369
396.5,30.0165419772324
397,30.016510938821
397.5,30.0164798629426
398,30.0164487511153
398.5,30.0164176048354
399,30.0163864255777
399.5,30.0163552147958
400,30.0163239739227
400.5,30.0162927043705
401,30.0162614075309
401.5,30.0162300847757
402,30.0161987374567
402.5,30.0161673669063
403,30.0161359744373
403.5,30.0161045613437
404,30.0160731289005
404.5,30.0160416783641
405,30.0160102109727
405.5,30.0159787279461
406,30.0159472304866
406.5,30.0159157197785
407,30.0158841969889
407.5,30.0158526632675
408,30.0158211197473
408.5,30.0157895675443
409,30.015758007758
409.5,30.0157264414718
410,30.0156948697526
410.5,30.0156632936518
411,30.0156317142047
411.5,30.0156001324315
412,30.0155685493369
412.5,30.0155369659105
413,30.0155053831269
413.5,30.0154738019463
414,30.0154422233141
414.5,30.0154106481616
415,30.0153790774056
415.5,30.0153475119495
416,30.0153159526824
416.5,30.01528440048
417,30.0152528562048
417.5,30.0152213207057
418,30.0151897948186
418.5,30.0151582793668
419,30.0151267751606
419.5,30.0150952829978
420,30.0150638036636
420.5,30.0150323379315
421,30.0150008865623
421.5,30.0149694503052
422,30.0149380298977
422.5,30.0149066260656
423,30.014875239523
423.5,30.0148438709732
424,30.0148125211079
424.5,30.014781190608
425,30.0147498801435
425.5,30.0147185903736
426,30.014687321947
426.5,30.0146560755019
427,30.0146248516662
427.5,30.0145936510577
428,30.0145624742841
428.5,30.0145313219432
429,30.0145001946229
429.5,30.0144690929018
430,30.0144380173486
430.5,30.0144069685229
431,30.0143759469747
431.5,30.0143449532453
432,30.0143139878665
432.5,30.0142830513615
433,30.0142521442446
433.5,30.0142212670216
434,30.0141904201895
434.5,30.0141596042369
435,30.0141288196442
435.5,30.0140980668835
436,30.0140673464188
436.5,30.0140366587061
437,30.0140060041935
437.5,30.0139753833213
438,30.013944796522
438.5,30.0139142442208
439,30.0138837268351
439.5,30.0138532447752
440,30.0138227984439
440.5,30.0137923882369
441,30.0137620145428
441.5,30.0137316777432
442,30.0137013782128
442.5,30.0136711163194
443,30.0136408924242
443.5,30.0136107068818
444,30.0135805600401
444.5,30.0135504522408
445,30.0135203838188
445.5,30.0134903551032
446,30.0134603664167
446.5,30.0134304180758
447,30.013400510391
447.5,30.0133706436671
448,30.0133408182026
448.5,30.0133110342907
449,30.0132812922184
449.5,30.0132515922674
450,30.0132219347138
450.5,30.0131923198281
451,30.0131627478755
451.5,30.0131332191157
452,30.0131037338035
452.5,30.013074292188
453,30.0130448945136
453.5,30.0130155410196
454,30.01298623194
454.5,30.0129569675042
455,30.0129277479367
455.5,30.0128985734572
456,30.0128694442806
456.5,30.0128403606172
457,30.0128113226729
457.5,30.0127823306487
458,30.0127533847415
458.5,30.0127244851436
459,30.012695632043
459.5,30.0126668256235
460,30.0126380660645
460.5,30.0126093535414
461,30.0125806882255
461.5,30.012552070284
462,30.01252349988
462.5,30.0124949771729
463,30.0124665023179
463.5,30.0124380754668
464,30.0124096967673
464.5,30.0123813663633
465,30.0123530843954
465.5,30.0123248510003
466,30.0122966663113
466.5,30.0122685304579
467,30.0122404435664
467.5,30.0122124057595
468,30.0121844171569
468.5,30.0121564778744
469,30.0121285880249
469.5,30.0121007477181
470,30.0120729570602
470.5,30.0120452161546
471,30.0120175251014
471.5,30.0119898839977
472,30.0119622929376
472.5,30.0119347520122
473,30.0119072613096
473.5,30.0118798209153
474,30.0118524309116
474.5,30.0118250913782
475,30.011797802392
475.5,30.0117705640272
476,30.0117433763552
476.5,30.011716239445
477,30.0116891533626
