Temps (s),Consigne (°C),Erreur (°C),Thermistance 1 - T1 (°C),Thermistance 2 - T2 (°C),Thermistance 3 - T3 (°C),T4',Thermistance 3 estimée - T3_moy (°C),Commande (PWM),R1,R,R3
99.09328269958496,20.0,0.0,28.88,27.58,27.4,,27.4,10.0,8188.38,8916.06,9055.28
99.57765626907349,20.0,0.0,28.88,27.58,27.4,,27.4,10.0,8188.38,8903.43,9055.28
100.04489970207214,20.0,0.0,28.88,27.58,27.4,,27.4,10.0,8188.38,8916.06,9055.28
100.50360798835754,20.0,0.0,28.88,27.58,27.4,,27.4,10.0,8188.38,8916.06,9055.28
100.96982860565186,20.0,0.0,28.88,27.58,27.4,,27.4,10.0,8188.38,8916.06,9055.28
101.45254898071289,20.0,0.0,28.88,27.58,27.4,,27.4,10.0,8188.38,8916.06,9055.28
101.94529390335083,20.0,0.0,28.88,27.58,27.4,,27.4,10.0,8188.38,8916.06,9055.28
102.4449110031128,20.0,0.0,28.88,27.58,27.4,,27.4,10.0,8188.38,8916.06,9055.28
102.96208930015564,20.0,0.0,28.88,27.58,27.4,,27.4,10.0,8188.38,8916.06,9055.28
103.45400166511536,20.0,0.0,28.88,27.58,27.4,,27.4,10.0,8188.38,8916.06,9055.28
103.94732141494751,20.0,0.0,28.88,27.58,27.4,,27.4,10.0,8188.38,8916.06,9055.28
104.45696759223938,20.0,0.0,28.88,27.58,27.4,,27.4,10.0,8188.38,8916.06,9055.28
104.95232510566711,20.0,0.0,28.88,27.58,27.4,,27.4,10.0,8188.38,8916.06,9055.28
105.46166276931763,20.0,0.0,28.88,27.58,27.4,,27.4,10.0,8188.38,8916.06,9055.28
105.97428870201111,20.0,0.0,28.88,27.58,27.4,,27.4,10.0,8188.38,8916.06,9055.28
106.47480916976929,20.0,0.0,28.88,27.58,27.4,,27.4,10.0,8188.38,8916.06,9055.28
106.97687411308289,20.0,0.0,28.88,27.58,27.4,,27.4,10.0,8188.38,8916.06,9055.28
107.47806596755981,20.0,0.0,28.88,27.58,27.4,,27.4,10.0,8188.38,8916.06,9055.28
107.96000599861145,20.0,0.0,28.88,27.58,27.4,,27.4,10.0,8188.38,8916.06,9055.28
108.48437094688416,20.0,0.0,28.88,27.58,27.4,,27.4,10.0,8188.38,8916.06,9055.28
108.97834134101868,20.0,0.0,28.88,27.58,27.4,,27.4,10.0,8188.38,8916.06,9055.28
109.47584462165833,20.0,0.0,28.88,27.58,27.4,,27.4,10.0,8188.38,8916.06,9055.28
109.97296786308289,20.0,0.0,28.88,27.58,27.4,,27.4,10.0,8188.38,8916.06,9055.28
110.47200870513916,20.0,0.0,28.88,27.58,27.4,,27.4,10.0,8188.38,8916.06,9055.28
